Cohort,Section Y1,Midterm Y1,Final Y1,Teacher Midterm Y1,Teacher Final Y1,Section Y2,Exam Y2
2.0,1.0,47.5,56,2.0,1.0,1.0,67
2.0,3.0,37,47,2.0,1.0,3.0,67
2.0,1.0,55.5,58,2.0,1.0,1.0,67
2.0,1.0,45,51,2.0,1.0,1.0,67
2.0,3.0,45.5,50,2.0,1.0,3.0,67
2.0,3.0,32.5,38,2.0,1.0,3.0,65
2.0,3.0,30.5,39,2.0,1.0,3.0,65
2.0,3.0,20.5,34,2.0,1.0,3.0,65
2.0,3.0,41.5,33,2.0,1.0,3.0,65
2.0,2.0,31,41,2.0,1.0,2.0,65
2.0,2.0,42.5,64,2.0,1.0,2.0,64
2.0,3.0,31.5,28,2.0,1.0,3.0,64
2.0,2.0,38.5,40,2.0,1.0,2.0,64
2.0,1.0,32,43,2.0,1.0,1.0,64
2.0,1.0,39.5,33,2.0,1.0,1.0,64
2.0,1.0,36,37,2.0,1.0,1.0,64
2.0,2.0,38,27,2.0,1.0,2.0,64
2.0,2.0,48,58,2.0,1.0,2.0,63
2.0,3.0,50.5,41,2.0,1.0,3.0,63
2.0,3.0,23.5,34,2.0,1.0,3.0,62
2.0,3.0,48.5,39,2.0,1.0,3.0,62
2.0,2.0,41,32,2.0,1.0,2.0,62
2.0,3.0,24,40,2.0,1.0,3.0,62
2.0,1.0,30,54,2.0,1.0,1.0,61
2.0,3.0,34.5,51,2.0,1.0,3.0,61
2.0,3.0,45,54,2.0,1.0,3.0,61
2.0,1.0,41.5,38,2.0,1.0,1.0,61
2.0,3.0,21.5,22,2.0,1.0,3.0,61
2.0,1.0,65.5,47,2.0,1.0,1.0,60
2.0,1.0,47.5,52,2.0,1.0,1.0,60
2.0,2.0,31,36,2.0,1.0,2.0,60
2.0,1.0,42,37,2.0,1.0,1.0,60
2.0,2.0,72.5,58,2.0,1.0,2.0,59
2.0,2.0,37,35,2.0,1.0,2.0,59
2.0,1.0,28,28,2.0,1.0,1.0,59
2.0,1.0,23,44,2.0,1.0,1.0,59
2.0,3.0,47.5,35,2.0,1.0,3.0,59
2.0,3.0,24,19,2.0,1.0,3.0,58
2.0,2.0,30.5,51,2.0,1.0,2.0,58
2.0,2.0,23,28,2.0,1.0,2.0,58
2.0,2.0,15.5,24,2.0,1.0,2.0,58
2.0,3.0,25.5,35,2.0,1.0,3.0,58
2.0,2.0,30.5,40,2.0,1.0,2.0,57
2.0,3.0,34.5,22,2.0,1.0,3.0,57
2.0,2.0,34,40,2.0,1.0,2.0,56
2.0,2.0,29.5,35,2.0,1.0,2.0,56
2.0,2.0,26.5,35,2.0,1.0,2.0,56
2.0,3.0,23.5,21,2.0,1.0,3.0,56
2.0,3.0,18.5,22,2.0,1.0,3.0,56
2.0,2.0,31,37,2.0,1.0,2.0,55
2.0,2.0,40,44,2.0,1.0,2.0,55
2.0,3.0,47.5,47,2.0,1.0,3.0,55
2.0,1.0,33,19,2.0,1.0,1.0,55
2.0,3.0,23.5,31,2.0,1.0,3.0,54
2.0,3.0,26,23,2.0,1.0,3.0,54
2.0,3.0,42.5,47,2.0,1.0,3.0,53
2.0,2.0,27.5,32,2.0,1.0,2.0,53
2.0,1.0,58.5,50,2.0,1.0,1.0,53
2.0,1.0,40.5,38,2.0,1.0,1.0,53
2.0,3.0,42.5,42,2.0,1.0,3.0,53
2.0,3.0,51.5,53,2.0,1.0,3.0,53
2.0,1.0,60,50,2.0,1.0,1.0,53
2.0,3.0,33,46,2.0,1.0,3.0,53
2.0,3.0,45,23,2.0,1.0,3.0,52
2.0,3.0,37.5,29,2.0,1.0,3.0,52
2.0,3.0,43,53,2.0,1.0,3.0,51
2.0,2.0,35,48,2.0,1.0,2.0,51
2.0,1.0,13,26,2.0,1.0,1.0,51
2.0,3.0,18,27,2.0,1.0,3.0,50
2.0,2.0,22,29,2.0,1.0,2.0,50
2.0,3.0,43,30,2.0,1.0,3.0,50
2.0,1.0,54,54,2.0,1.0,1.0,50
2.0,2.0,24,23,2.0,1.0,2.0,49
2.0,1.0,43.5,28,2.0,1.0,1.0,49
2.0,1.0,43,46,2.0,1.0,1.0,49
2.0,3.0,29,26,2.0,1.0,3.0,49
2.0,2.0,43.5,38,2.0,1.0,2.0,49
2.0,3.0,47.5,47,2.0,1.0,3.0,48
2.0,2.0,33,42,2.0,1.0,2.0,48
2.0,2.0,27.5,19,2.0,1.0,2.0,48
